,name,artist,artist_id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,analysis_url,genre
35,Flip That,LOONA,52zMTJCKluDlFwMQWmccY7,0.072,0.803,177373,0.831,0.0,0.328,-3.649,0,0.0569,112.045,4,0.736,https://api.spotify.com/v1/audio-analysis/7cHXwaBnIBFUPuP376z07E,"{'k-pop', 'k-pop girl group'}"
36,So What,LOONA,52zMTJCKluDlFwMQWmccY7,0.0963,0.609,198001,0.944,1.26e-05,0.222,-2.503,1,0.254,125.121,4,0.533,https://api.spotify.com/v1/audio-analysis/1ry2mTVmAJHbNLzl5qww5v,"{'k-pop', 'k-pop girl group'}"
37,Star,LOONA,52zMTJCKluDlFwMQWmccY7,0.0575,0.715,198187,0.919,0.00405,0.0607,-1.788,0,0.0554,158.143,4,0.872,https://api.spotify.com/v1/audio-analysis/5ShU1AEd2oIGkTocr2zaWn,"{'k-pop', 'k-pop girl group'}"
38,Eclipse,LOONA,52zMTJCKluDlFwMQWmccY7,0.396,0.526,231237,0.781,0.0,0.122,-4.3,0,0.106,97.565,4,0.45,https://api.spotify.com/v1/audio-analysis/26K21MUaPDTnzHqtiiffFv,"{'k-pop', 'k-pop girl group'}"
39,키스는 다음에,LOONA,52zMTJCKluDlFwMQWmccY7,0.176,0.412,199754,0.767,0.0,0.0733,-4.108,1,0.0914,207.437,4,0.634,https://api.spotify.com/v1/audio-analysis/3DGKXLtVjawKFweymvHn84,"{'k-pop', 'k-pop girl group'}"
40,I AM,IVE,6RHTUrRF63xao58xh9FXYJ,0.0115,0.683,183853,0.875,0.0,0.084,-4.866,0,0.0549,122.002,4,0.384,https://api.spotify.com/v1/audio-analysis/70t7Q6AYG6ZgTYmJWcnkUM,{'k-pop girl group'}
41,Baddie,IVE,6RHTUrRF63xao58xh9FXYJ,0.0459,0.736,154360,0.678,5.46e-06,0.104,-4.503,1,0.0464,160.045,4,0.757,https://api.spotify.com/v1/audio-analysis/7uyeEbG6hyApgXuEypGcsZ,{'k-pop girl group'}
42,After LIKE,IVE,6RHTUrRF63xao58xh9FXYJ,0.103,0.68,176973,0.922,0.0,0.0877,-1.215,1,0.121,125.014,4,0.799,https://api.spotify.com/v1/audio-analysis/2gYj9lubBorOPIVWsTXugG,{'k-pop girl group'}
43,LOVE DIVE,IVE,6RHTUrRF63xao58xh9FXYJ,0.00379,0.703,177187,0.709,5.43e-05,0.333,-4.169,0,0.0433,117.941,4,0.538,https://api.spotify.com/v1/audio-analysis/0Q5VnK2DYzRyfqQRJuUtvi,{'k-pop girl group'}
44,Off The Record,IVE,6RHTUrRF63xao58xh9FXYJ,0.101,0.767,188733,0.745,0.0,0.192,-5.338,1,0.0449,107.984,4,0.842,https://api.spotify.com/v1/audio-analysis/3G7MgLuWLzUJQflWOCDZit,{'k-pop girl group'}
